"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"194","moerdijk",3.9,-2,-3.5,2.5,-2.7,-4.5,-0.5,-0.3,0,-2.8,-0.1,0.1,4,0.1,3,1.2,1.2
"195","molenlanden",0.5,-1.8,-3.8,1.4,-1.7,-1.8,-0.4,0.5,0.4,-1.3,0,0.1,3.3,0.2,2.6,0.8,0.9
"196","montferland",3.4,-1.8,-5.3,2.1,-2.6,-5,0.4,0.3,0.5,-2.4,-0.1,-0.1,3.7,0.1,2.6,1.1,2.8
"197","montfoort",0.0999999999999979,-2.3,-3.9,2.8,-2.8,-0.9,-0.8,-0.300000000000001,0.2,-1.3,0,0,1.8,0.2,3.2,1.8,2
"198","mook en middelaar",0.100000000000001,-0.9,-2.7,4.8,-3.7,-4.9,0.300000000000001,-0.1,0.8,-1.3,0,0,1.8,0.4,1.7,2.7,0.6
"199","neder-betuwe",1.5,-2.3,-2.5,0.5,-1.5,-2,-0.100000000000001,0.3,0,-1.9,0.699999999999999,-0.2,4,0.1,1.9,0.6,0.7
"200","nederweert",2.5,-3,-5.7,2.4,-1.7,-4.3,1.6,0.2,0.5,-3.3,0,0.1,3.4,0.1,2.9,1.2,2.7
"201","nieuwegein",2.7,-3.9,-2.7,2.4,-3.3,-3.1,0.0999999999999996,0.1,0.8,-2.5,0,0.5,2.8,0.5,2.5,2,0.3
"202","nieuwkoop",0.5,-3.3,-4,2.6,-2.8,-1.6,-0.8,-0.0999999999999996,0.4,-1.9,-0.3,0.3,2.9,0.2,4.1,1.5,2.1
"203","nijkerk",1.5,-2.1,-4.9,2.2,-2.2,-1.5,-0.2,0.200000000000001,0.4,-1.8,-0.7,-0.3,3.6,0.2,2.5,1.1,1.2
