"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"1","'s-gravenhage",-0.299999999999997,-4.3,-1.3,3,-4.5,-1.8,-1,0,0.5,-1.8,-0.1,0.8,2.4,1,1.7,3.1,0.1
"2","'s-hertogenbosch",0.899999999999999,-2.5,-3,4.4,-4.6,-3.5,-0.0999999999999996,0,0.9,-1.9,0,-0.2,2.8,0.4,1.9,3.1,0.3
"3","aa en hunze",2.8,-1.6,-2.2,2.2,-4.3,-4.1,-0.199999999999999,0.3,0.899999999999999,-2.6,0,0.1,2.4,0.2,1.8,1.7,2.6
"4","aalsmeer",-2.6,-1.6,-1.2,2.9,-2.9,-1.4,-0.2,-0.2,0.5,-2.4,-0.1,0.3,2.4,0.3,3.6,1.7,0.4
"5","aalten",2.8,-1,-5.6,2.1,-3,-6.2,0.5,0.399999999999999,0.3,-1.9,-0.1,-0.2,3.2,0.1,2.1,1,5.2
"6","achtkarspelen",1.1,0.399999999999999,-6.1,1,-2.4,-5,0.199999999999999,-0.9,0.4,-2.4,0.5,0,7.7,0.1,1.6,0.7,2.5
"7","alblasserdam",1.9,-3.1,-3.3,2.4,-2.9,-2.3,0,0,0.4,-1.6,0.599999999999998,0,3.9,0.2,2.7,0.6,0.3
"8","albrandswaard",0.600000000000001,-4.6,-3.7,2.7,-2.7,-1.5,-0.3,0,1,-2.3,0.0999999999999999,0.3,2.3,0.3,5.6,1.8,0.3
"9","alkmaar",-1.5,-1.7,-1.8,4,-6,-2,-0.899999999999999,-0.1,1,-2.1,0,-0.0999999999999999,3.8,0.4,2.4,2.5,1
"10","almelo",2.8,-2.4,-2.8,1.4,-3,-4.1,0.2,-0.0999999999999996,0.5,-2.1,0,-0.8,5,0.2,2.2,1.3,1
"11","almere",1.2,-3.6,-1.8,2.3,-4.3,-2.4,-0.5,-0.3,0.5,-3.2,0.1,0.6,4.2,1.4,2.5,2,0.3
"12","alphen aan den rijn",0.300000000000001,-2,-3.1,2.7,-3.9,-1.6,-0.600000000000001,0,0.6,-1.8,-0.3,0,2.9,0.3,2.9,2,0.7
"13","alphen-chaam",2.3,-1.7,-5.1,2.7,-2.2,-3.8,0.0999999999999996,-0.1,0.8,-2.1,-0.1,-0.1,3.1,0.1,2.7,1.5,2.5
"14","altena",2.3,-2.1,-4.8,1.8,-1.5,-2.7,0,-0.699999999999999,0.5,-1.5,-0.5,0,4.9,0.1,2.3,0.9,0.8
"15","ameland",0.200000000000003,-0.5,-6.5,2.7,-3.1,-1.9,-1.6,0.1,0.9,-2.2,0,0.1,1.6,0.1,3.3,1.8,4.6
"16","amersfoort",-0.800000000000001,-2.1,-2.6,4.5,-4.9,-2.2,-0.5,-0.6,1.1,-1.3,0,0.1,2.1,0.7,1.9,3.4,0.3
"17","amstelveen",-2.5,-1.5,-1.3,3.3,-4.6,-0.7,-0.4,-0.1,0.9,-2.2,-0.1,0.4,1.5,0.8,2.2,3.5,0.1
"18","amsterdam",-2.6,-1.8,-0.5,4,-9.4,-1.5,-0.700000000000001,-0.1,1.1,-1.4,0,-0.7,1.5,3.4,1.2,6,0.1
"19","apeldoorn",1.1,-1.6,-3.6,2.4,-4.1,-2.7,-0.0999999999999996,0.4,0.8,-2.2,0.2,-0.2,3.8,0.3,2.2,1.9,0.9
"20","arnhem",-0.100000000000001,-2.2,-1.9,2.8,-5.4,-3.7,0,-0.1,1.1,-1.5,0.1,0,3.2,1.2,1.6,3.5,0.2
"21","assen",1.7,-1.3,-3.1,3.1,-4.9,-2.8,0.0999999999999996,-0.5,0.5,-1.7,-0.1,0,3.4,0.3,1.9,1.7,0.9
"22","asten",1.9,-1.3,-4,2.7,-2.9,-4.9,-0.2,0,0.5,-2.3,-0.1,0.2,2.9,0.1,2.5,1.8,2.6
"23","baarle-nassau",1.2,-2.2,-5.1,2,-2.8,-3.2,0.6,0.1,0.3,-2.3,-0.1,-0.1,4.1,0.1,3.1,0.9,2.5
"24","baarn",-2.6,-1.4,-2.1,3.2,-2.9,-1.9,-0.2,0,1.1,-1.7,-0.3,-0.2,2.4,0.2,2.7,2.9,0.2
"25","barendrecht",-0.300000000000001,-2.2,-3.8,3.4,-3,-1.3,-0.300000000000001,-0.0999999999999996,0.3,-2.3,-0.2,0,2.6,0.4,4.7,1.4,0.1
"26","barneveld",0.600000000000001,-1.8,-5.1,1.3,-1.1,-1.1,-0.3,-0.399999999999999,0.2,-1.5,0.600000000000001,-0.1,4.5,0.2,2.1,0.8,1.3
"27","beek",3.3,-3.5,-4.2,1.6,-2.4,-4.6,3.4,0.1,1.1,-3.2,-0.1,0.1,3.9,0.1,1.8,1.3,0.6
"28","beekdaelen",3.3,-2.2,-4.5,1.6,-2.7,-5.9,3.9,0.1,0.6,-3.8,0,0,4.6,0.2,1.9,1.4,0.8
"29","beemster",-2.9,-1.1,-3.5,2.4,-3.3,-1,-2.4,0,0.4,-1.8,-0.2,0.2,2.5,0.3,3.8,2.1,4
"30","beesel",3.5,-3.4,-3.9,2.2,-2.5,-5.2,2.4,0.1,0.3,-3.6,-0.1,0.0999999999999999,4,0.1,2.2,1.2,1.1
"31","berg en dal",3.7,-1.9,-2.9,4.5,-4.1,-7,0.600000000000001,0,1.4,-2.2,-0.1,0,2.2,0.3,2.1,2.1,0.9
"32","bergeijk",5.3,-2.2,-5.5,1.9,-1.8,-5.5,0.4,-0.1,0.6,-2.1,-0.1,-0.1,2.5,0.1,2.4,1.8,2
"33","bergen",5.2,-1,-4.5,3.1,-1.8,-11.7,1.7,0,0.6,-2.8,0,0,4,0.1,2.7,1.2,2.1
"34","bergen",5.2,-1,-4.5,3.1,-1.8,-11.7,1.7,0,0.6,-2.8,0,0,4,0.1,2.7,1.2,2.1
"35","bergen op zoom",3.4,-3.8,-2.6,3,-3.8,-3.8,0.8,0.1,0.7,-2.8,0,0.0999999999999996,3.5,0.3,2.5,1.4,0.4
"36","berkelland",0.100000000000001,-0.699999999999999,-4.7,0.5,-3.5,-5.8,0.100000000000001,0,0.5,-1.6,-0.1,0.1,3.1,0.1,2.3,1.4,8
"37","bernheze",5.4,-1.6,-5.8,2.7,-2.4,-5.1,-0.2,0,0.5,-1.5,0,0,2.2,0.1,2.3,1.6,1.3
"38","best",2.5,-1.4,-3.5,3.4,-2.7,-4.8,0.600000000000001,0,0.3,-3,0.1,-0.0999999999999999,2.9,0.2,2.2,2.2,0.4
"39","beuningen",3.6,-2.3,-3.3,3,-3.4,-5.2,0.5,0,0.7,-2.5,0.1,0.1,3.1,0.2,2.8,1.6,0.6
"40","beverwijk",-0.0999999999999979,-2.5,-1.1,2.6,-4.5,-2.6,-0.4,0,0.8,-2.8,0,-0.3,4.6,0.4,3.1,1.7,0.3
"41","bladel",3.1,-0.199999999999999,-5.5,3.6,-2.1,-6.3,0.4,0.1,0.4,-2.7,-0.1,0.1,2.9,0.2,2.3,2,1.4
"42","blaricum",-2.5,-0.700000000000001,-1.5,3.3,-2.7,-0.9,-1.1,0.1,-0.1,-1.9,-0.2,0.1,1.5,0.1,3.2,2.4,0.2
"43","bloemendaal",-7.59999999999999,-0.8,-1.3,5.9,-4,-0.4,-0.8,0.3,0.899999999999999,-1,0,0,0.8,0.3,2,5,0.1
"44","bodegraven-reeuwijk",-1.1,-3.1,-3.4,2.7,-2.7,-0.7,-0.3,0.399999999999999,0.5,-1.7,-0.0999999999999996,0.2,3,0.2,3.1,1.6,1.1
"45","boekel",3.9,-1.9,-5.7,3,-1.5,-6.9,0.1,0.1,0.7,-1.7,-0.1,0.1,3.5,0.2,2.3,1.1,2.7
"46","bonaire",-3.4,0.2,12.7,-13.7,-3.5,-0.5,0.9,1.6,-0.4,-1.1,-0.2,1.4,2.7,1.1,1,1.3,NA
"47","borger-odoorn",1.5,-0.800000000000001,-3.2,2.2,-3.3,-5.7,1,-0.4,0.6,-2.6,0,0,3.8,0.1,2.3,1.1,2.7
"48","borne",2,-0.300000000000001,-2.4,1.3,-3.2,-3.7,-0.2,0,0.3,-1.5,0.1,-0.1,2.5,0.1,1.8,1.4,1.7
"49","borsele",1.3,-1.6,-3.6,1.8,-2.3,-3.2,-0.4,-0.1,0,-2.1,0,0.1,3.5,0.1,2.8,1,2.3
"50","boxmeer",5.3,0.799999999999999,-2.9,4.7,-2.2,-16.6,1.3,0.2,1,-0.8,0,0,2.6,0.1,2.5,1.5,1.8
"51","boxtel",3.7,-1.8,-2.7,3.3,-3.9,-5.3,-0.100000000000001,-0.1,0.9,-2.2,0,0.4,2.7,0.3,1.7,1.9,0.6
"52","breda",-0.699999999999999,-2.8,-2.6,5.3,-4.5,-3.5,0.3,-0.1,0.7,-1.5,0,0,2.9,0.5,2.1,3,0.3
"53","brielle",-0.100000000000001,-3.6,-3.2,2.9,-2.7,-2.6,-0.100000000000001,0.1,0.4,-2.5,-0.1,0.2,3.8,0.2,5.4,1.3,0.6
"54","bronckhorst",0.199999999999999,-0.6,-5.1,1.1,-2.7,-3.9,-0.3,0.3,0.6,-2.1,-0.1,0,1.8,0.2,2.5,1.5,6.3
"55","brummen",2.5,-1.3,-2.8,2.4,-3.7,-4.2,-0.399999999999999,0.4,0.9,-2.4,-0.2,-0.3,2.6,0.2,2.5,1.5,2.1
"56","brunssum",3.8,-4.4,-3.1,1.2,-2.6,-7.9,4.3,0.0999999999999999,0.2,-3.9,-0.1,0,8.5,0.2,1.8,0.8,0.3
"57","bunnik",-0.599999999999998,-1.6,-3.8,5.3,-4.2,-0.9,-1,0.0999999999999996,1.3,-1.1,-0.2,0.2,0.9,0.3,1.7,3,0.7
"58","bunschoten",0.200000000000001,1,-5.8,1.6,-1,-0.8,-0.3,-3.5,0.2,-1.5,0.699999999999999,-0.1,5.3,0.1,2.7,0.6,0.6
"59","buren",0.5,-2.8,-2.7,1.9,-2,-2,-0.5,0.4,0.8,-2.5,-0.5,0.1,3.1,0.2,3,1.2,1.4
"60","capelle aan den ijssel",0.699999999999999,-5.3,-2.7,3.4,-3.6,-2.1,-0.4,0,0.2,-2.7,-0.100000000000001,0.6,3.8,0.7,4.6,1.6,0.1
"61","castricum",-3.5,-0.699999999999999,-1.5,4.8,-4.8,-2.4,-1.3,0.1,1.5,-1.8,-0.1,0.1,2.4,0.3,2.8,2.8,0.8
"62","coevorden",0.599999999999998,-1.1,-3.5,2.2,-3,-4.6,0.200000000000001,0.1,0.8,-2.7,-0.1,0.1,3.6,0.1,2.4,1.1,3.2
"63","cranendonck",2.8,-1.5,-3.7,1.7,-1.7,-5.1,0.7,-0.1,-0.1,-3.3,0,0,3.5,0.2,3.2,1.5,1.4
"64","cuijk",4.1,-1.1,-2.7,3.3,-3.1,-9.4,0.6,0.1,0.7,-1.7,0,-0.3,3.4,0.3,2.3,1.4,1.1
"65","culemborg",0.5,-3.8,-2.1,4,-4.6,-2.2,-0.3,0.1,0.899999999999999,-1.8,-0.2,0,2.5,0.4,2.1,2.7,0.3
"66","dalfsen",2.2,0.100000000000001,-10.9,3,-1.7,-2.4,0,0.299999999999999,0.2,-1.7,-0.1,0,2.5,0.1,2.2,1.1,4.9
"67","dantumadiel",1.4,0.9,-6.7,1.2,-2.6,-5.6,0.600000000000001,0.299999999999999,0.3,-2.3,-0.2,0,7.4,0.1,1.8,0.9,1.9
"68","de bilt",-2.4,-2,-2.2,4.7,-4.4,-1.7,-0.300000000000001,0.1,1.4,-1.3,-0.4,0.3,1.7,0.4,1.9,3.4,0.3
"69","de fryske marren",-1.5,-0.6,-4.4,2.1,-3.8,-3.4,0.5,0.2,0.4,-2.2,-0.2,-0.1,6.1,0.1,2.3,1.1,3.2
"70","de ronde venen",-2,-0.9,-2.1,4.1,-3.1,-0.7,-0.8,-0.3,0,-1.8,-0.4,-0.2,1.8,0.3,2.8,2.2,0.9
"71","de wolden",-3.1,2.5,-4.5,1,-3.1,-2.9,-0.7,0.2,0.6,-2.6,-0.3,0.1,3.4,0.1,2.7,1.1,5.2
"72","delft",-1,-3.2,-1.5,1.1,-5.5,-1.3,-0.6,-0.3,0.9,-1.9,-0.1,0,1.9,0.8,2.2,7.5,0.2
"73","den helder",2.1,-2.8,-2.5,1.6,-3.4,-1.9,-0.3,-0.3,0.3,-3.7,-0.2,0.1,5.4,0.3,2.7,1.3,0.5
"74","deurne",3.2,-2.2,-4.5,2.5,-2.3,-5.6,0.5,0.3,0.5,-2.4,0,0.2,3.1,0.1,2.7,1.3,2.5
"75","deventer",0.399999999999999,-1.8,-4.2,4.3,-4.1,-3.6,-1.6,-0.1,1.1,-2.2,0,-0.4,3.1,0.5,1.5,3.3,3.1
"76","diemen",-1.6,-3.1,-1.3,4.3,-5.8,-2,-1,0,1,-2.8,0.1,0.5,2,2.3,2.3,4.2,0.1
"77","dinkelland",2.2,-1.1,-5.6,-0.4,-1.8,-3.1,-0.5,0.1,0.3,-1.5,-0.1,0,2.1,0,2.3,1.2,5.6
"78","doesburg",1,-1.2,-2.9,3.3,-3.5,-4.4,1,-0.1,0.5,-2.4,-0.1,-0.8,3.9,0.2,1.9,1.7,0.8
"79","doetinchem",1.8,-1.1,-2.9,2.3,-3.9,-4.5,0,0,0.6,-1.7,0,-0.0999999999999999,3.7,0.2,2.1,1.6,1.5
"80","dongen",3.8,-1.8,-3.1,3.4,-3.4,-4.7,0.399999999999999,0,0.5,-2.1,0,-0.1,2.5,0.1,2.2,1.1,1
"81","dordrecht",2.1,-4.3,-2.9,3.6,-4,-2.8,-0.0999999999999996,0.5,0.6,-1.9,0,-0.2,3.6,0.6,2.4,1.8,0.2
"82","drechterland",-2.8,-1.7,-2.1,2.1,-2.9,-1.7,-0.899999999999999,-0.2,0.5,-2.3,0,0.1,3.7,0.1,4.2,1.7,2.1
"83","drimmelen",3.5,-3,-3.4,1.9,-3.2,-4,0.5,0.1,0.3,-2.7,-0.1,0,3.8,0.1,2.4,1.4,1.7
"84","dronten",-1,-1.2,-4.7,2.5,-2.9,-1.9,-0.2,-0.4,0.6,-2.1,-0.2,-0.2,4.2,0.2,3.4,1.4,2.2
"85","druten",4.2,-1.6,-2.3,2,-3.2,-4.3,0.3,0.1,0.1,-2.5,-0.1,-0.5,2.4,0,2.3,1.5,1.2
"86","duiven",2.8,-1.5,-3.4,2.8,-4,-4.1,0.399999999999999,0.4,0.6,-2.7,0,0,2.7,0.2,3.1,1.5,0.7
"87","echt-susteren",4.1,-2.1,-5.2,1.5,-2,-5.9,3.6,0.2,0.3,-3.8,0,0.1,5,0,1.8,1,0.9
"88","edam-volendam",-2.9,2.6,-8.6,1.7,-2.6,-0.4,-0.4,0.1,0.7,-2.1,0,0,2,0.3,6.6,1.6,1
"89","ede",0.399999999999999,-2.1,-4.1,1.8,-2.2,-1.6,-0.4,0.5,0.7,-1.4,-0.299999999999999,0,3.4,0.3,2.1,1.7,0.8
"90","eemnes",-0.699999999999999,-0.9,-3.1,2.5,-2.7,-1.5,-0.899999999999999,-0.0999999999999996,0.9,-2.3,-0.4,0.1,1.8,0.3,3.4,2.4,0.9
"91","eemsdelta",2.6,-1,-3.4,2,-4.5,-3.8,1.9,-0.2,0.6,-2.9,0,0,4.3,0.1,1.5,0.9,2
"92","eersel",3.2,-1.8,-5.1,3.6,-2,-5.8,0.2,0.2,0.5,-2.3,-0.1,0.1,2,0.1,2.1,3.4,1.5
"93","eijsden-margraten",4.8,-2.1,-7.3,2.5,-2.7,-4.2,4.2,0,0.8,-3.4,0,0.1,1.9,0.1,2,1.8,0.7
"94","eindhoven",0.899999999999999,-2.8,-2.3,3.2,-4.4,-4.2,0.0999999999999996,-0.1,0.6,-2.3,0,-0.2,3,0.7,1.6,4.7,0.2
"95","elburg",2,0.399999999999999,-5,0.699999999999999,-1.4,-1.6,0,-0.800000000000001,0.2,-1.7,-0.700000000000001,0.1,3.7,0.1,2.1,0.6,1.2
"96","emmen",3.2,-0.100000000000001,-3.3,1.8,-3.7,-5.7,0.5,0,0.5,-3.1,0,0,4.7,0.2,2,1,1.5
"97","enkhuizen",-1.4,-1.5,-2.1,4.6,-4.9,-2.8,-0.5,0,0.5,-2.5,0,0.1,4.7,0.2,2.5,1.8,0.5
"98","enschede",0.100000000000001,-2.2,-1,0.0999999999999996,-3.5,-4,0.2,-0.4,0.3,-1.5,0,-0.3,5,0.4,1.8,3.9,0.6
"99","epe",1.1,-1.5,-3.7,1.6,-2.4,-2.6,-0.300000000000001,0.8,0.6,-2.5,0,-0.3,3.1,0.1,2.3,1.2,1.9
"100","ermelo",-0.5,-1,-5.3,2.8,-2.5,-1.7,-0.1,0.300000000000001,0.8,-1.6,0.600000000000001,0,3.2,0.2,2.5,1.3,0.8
"101","etten-leur",3.3,-3.2,-4.1,3.3,-3.4,-4,1,0.2,0.3,-2.2,-0.1,-0.3,3.5,0.2,2.6,1.3,0.7
"102","geertruidenberg",4.2,-3.2,-3.3,2,-3.3,-4.9,0.8,0.2,0.4,-2.4,-0.1,0.1,3.9,0.2,2.5,1.1,0.9
"103","geldrop-mierlo",2.8,-2.5,-3.6,3.5,-3.3,-5.3,0.8,0.1,0.6,-2.3,0.1,-0.1,3.7,0.2,2,2.2,0.3
"104","gemert-bakel",2.9,-2.7,-1.4,3.1,-2.6,-7.6,0.4,0.1,0.6,-2.1,-0.1,0,2.7,0.2,2.1,1.4,2.7
"105","gennep",3.4,-0.299999999999999,-1.2,3.1,-2.6,-11.7,1.5,0,0.8,-1.7,0,0,3,0.2,2.1,1.5,1.1
"106","gilze en rijen",3.9,-2.6,-3.5,2.4,-3.4,-4.2,1.2,0.2,0.4,-2.7,-0.1,-0.8,3.3,0.2,2.4,1.5,1
"107","goeree-overflakkee",1.8,-3.2,-2.8,1.4,-1.6,-2.3,0.2,0.6,0.3,-1.9,-1.6,0.1,4.1,0.1,3.2,0.8,0.6
"108","goes",1.8,-2.3,-3.3,3.2,-3.8,-4.8,0.899999999999999,0.4,0.6,-1.8,0,0,3.7,0.3,2.5,1.3,0.8
"109","goirle",3.7,-2.4,-3.9,4.9,-3.8,-5.1,0.3,0,0.9,-2.3,0.1,0,2.8,0.1,2,1.8,0.3
"110","gooise meren",-5.8,-1.2,-0.800000000000001,5.9,-4,-1.2,-1,-0.0999999999999999,0.7,-1.8,-0.1,-0.2,1.7,0.2,2.3,4.3,0.3
"111","gorinchem",1.3,-2.6,-2.8,3.4,-3.9,-2.8,-0.3,-0.2,0.3,-2.1,0.0999999999999996,-0.3,3.6,0.3,2.4,1.9,0.2
"112","gouda",0.399999999999999,-3.4,-2.8,3.3,-4.2,-2,-0.3,0.7,1,-1.6,-0.0999999999999996,0,2.5,0.4,2.5,2.6,0.3
"113","grave",4,-2.1,-3,3,-2.9,-6.6,0,0.3,0.7,-2.4,0,0,3.1,0.3,2.3,1.8,1.2
"114","groningen",-0.6,-1,-1.8,3.6,-7.7,-2.9,0.200000000000001,-0.9,1,-1.2,0.1,0.2,2,1.1,1.5,5.5,0.4
"115","gulpen-wittem",3.7,-3.5,-1.3,1.5,-4.4,-5.7,3.8,0.2,0.9,-3.9,0,0,3.3,0.1,1.7,1.6,1.6
"116","haaksbergen",-0.300000000000001,-0.299999999999999,-2.6,1.5,-2.7,-4,-0.8,0,0.4,-2.1,0,-0.1,2.9,0.2,2.2,1.3,4
"117","haarlem",-1.6,-1.9,-1.5,4.7,-6.4,-1.3,-0.899999999999999,-0.2,0.8,-1.9,0,-0.3,2.1,0.9,1.7,4.9,0.1
"118","haarlemmermeer",-1.5,-2,-1.8,2.9,-3.5,-1.4,-0.6,0,0.3,-2.4,0,0.2,2.9,0.4,3.2,2,0.3
"119","halderberge",4.9,-3.8,-4.1,3,-2.8,-4.5,0.6,0.1,-0.1,-2.6,-0.1,0.2,3.8,0.2,2.6,1.1,0.8
"120","hardenberg",2.4,0.5,-8.7,1.4,-1.8,-3.7,-1.3,-0.6,0.3,-2.1,-0.2,0,4.7,0.1,2.3,1.1,5.1
"121","harderwijk",1.5,-1.9,-5,3.6,-2.8,-1.9,-0.4,0.399999999999999,0.5,-2,-0.1,-0.6,2.9,0.2,2.7,1.5,0.7
